round_number,timestamp,task_difficulty,previous_difficulty,difficulty_change,player_skill,player_accuracy,completion_time,difficulty_gap,is_in_flow,player_state,player_satisfaction,is_completed,attempted,gave_up,quit_early,notes
1,2026-03-12T15:51:44.459879,0.3,0.35,-0.04999999999999999,0.3,0.9434449801864355,18.802036252619857,0.0,True,flow,0.5,False,True,False,False,α=0.5
2,2026-03-12T15:51:44.459896,0.35,0.3,0.04999999999999999,0.31,0.8660312740135123,37.43917573432073,0.03999999999999998,True,flow,1.0,True,True,False,False,α=0.5
3,2026-03-12T15:51:44.459903,0.38,0.35,0.030000000000000027,0.32,0.9256730456546248,21.10757267007859,0.06,True,flow,1.0,True,True,False,False,α=0.5
4,2026-03-12T15:51:44.459907,0.4,0.38,0.020000000000000018,0.33,0.8308647656677113,19.198253797872926,0.07,True,flow,1.0,True,True,False,False,α=0.5
5,2026-03-12T15:51:44.459912,0.41500000000000004,0.4,0.015000000000000013,0.34,0.7853328714498365,12.093072026895424,0.07500000000000001,True,flow,1.0,True,True,False,False,α=0.5
6,2026-03-12T15:51:44.459916,0.42750000000000005,0.41500000000000004,0.012500000000000011,0.35000000000000003,0.9129988304876973,25.82182219424383,0.07750000000000001,True,flow,1.0,True,True,False,False,α=0.5
7,2026-03-12T15:51:44.459919,0.4387500000000001,0.42750000000000005,0.011250000000000038,0.36000000000000004,0.8112183127776704,35.42083589017334,0.07875000000000004,True,flow,1.0,True,True,False,False,α=0.5
8,2026-03-12T15:51:44.459922,0.4493750000000001,0.4387500000000001,0.010624999999999996,0.37000000000000005,0.7574552907846582,12.048409387593765,0.07937500000000003,True,flow,1.0,True,True,False,False,α=0.5
9,2026-03-12T15:51:44.459925,0.4596875000000001,0.4493750000000001,0.010312500000000002,0.38000000000000006,0.8632820249861942,20.505978263608057,0.07968750000000002,True,flow,1.0,True,True,False,False,α=0.5
10,2026-03-12T15:51:44.459928,0.4698437500000001,0.4596875000000001,0.010156250000000033,0.39000000000000007,0.8536134099904366,21.368336166064203,0.07984375000000005,True,flow,1.0,True,True,False,False,α=0.5
11,2026-03-12T15:51:44.459932,0.4799218750000001,0.4698437500000001,0.010078124999999993,0.4000000000000001,0.7626274972277098,30.423864936974233,0.07992187500000003,True,flow,1.0,True,True,False,False,α=0.5
12,2026-03-12T15:51:44.459936,0.48996093750000014,0.4799218750000001,0.010039062500000029,0.4100000000000001,0.7639314410570823,45.80882998207277,0.07996093750000005,True,flow,1.0,True,True,False,False,α=0.5
13,2026-03-12T15:51:44.459939,0.49998046875000013,0.48996093750000014,0.010019531249999991,0.4200000000000001,0.9330585229611589,35.69151380421651,0.07998046875000003,True,flow,1.0,True,True,False,False,α=0.5
14,2026-03-12T15:51:44.459942,0.4349902343750001,0.49998046875000013,-0.06499023437500001,0.4200000000000001,0.7969579548659057,20.301156938119675,0.014990234375000022,True,flow,0.5,False,True,False,False,α=0.5
15,2026-03-12T15:51:44.459945,0.47749511718750015,0.4349902343750001,0.04250488281250003,0.4300000000000001,0.8590688358624387,26.152063261057588,0.04749511718750005,True,flow,1.0,True,True,False,False,α=0.5
16,2026-03-12T15:51:44.459949,0.42874755859375013,0.47749511718750015,-0.04874755859375002,0.4300000000000001,0.911761683302852,41.84595780668981,0.0012524414062499711,True,flow,0.5,False,True,False,False,α=0.5
17,2026-03-12T15:51:44.459952,0.47937377929687514,0.42874755859375013,0.050626220703125,0.4400000000000001,0.9149326124387367,39.27826313489773,0.03937377929687502,True,flow,1.0,True,True,False,False,α=0.5
18,2026-03-12T15:51:44.459955,0.5096868896484377,0.47937377929687514,0.030313110351562533,0.4500000000000001,0.7832967423242613,12.55881403309954,0.05968688964843755,True,flow,1.0,True,True,False,False,α=0.5
19,2026-03-12T15:51:44.459958,0.5298434448242189,0.5096868896484377,0.020156555175781188,0.46000000000000013,0.8121970886756903,20.808756797558804,0.06984344482421873,True,flow,1.0,True,True,False,False,α=0.5
20,2026-03-12T15:51:44.459961,0.5449217224121095,0.5298434448242189,0.015078277587890598,0.47000000000000014,0.8617443861455887,17.298302004185512,0.07492172241210932,True,flow,1.0,True,True,False,False,α=0.5
21,2026-03-12T15:51:44.459964,0.5574608612060548,0.5449217224121095,0.012539138793945304,0.48000000000000015,0.7940598049641808,52.34857259708414,0.07746086120605461,True,flow,1.0,True,True,False,False,α=0.5
22,2026-03-12T15:51:44.459967,0.5687304306030274,0.5574608612060548,0.011269569396972656,0.49000000000000016,0.9089754779457475,17.15687393198038,0.07873043060302726,True,flow,1.0,True,True,False,False,α=0.5
23,2026-03-12T15:51:44.459970,0.5793652153015139,0.5687304306030274,0.010634784698486444,0.5000000000000001,0.89371743595378,28.899740655143685,0.07936521530151375,True,flow,1.0,True,True,False,False,α=0.5
24,2026-03-12T15:51:44.459973,0.589682607650757,0.5793652153015139,0.010317392349243115,0.5100000000000001,0.9097666865769237,30.682335478988914,0.07968260765075685,True,flow,1.0,True,True,False,False,α=0.5
25,2026-03-12T15:51:44.459976,0.5998413038253785,0.589682607650757,0.010158696174621507,0.5200000000000001,0.8873978369747404,28.476008145802634,0.07984130382537835,True,flow,1.0,True,True,False,False,α=0.5
26,2026-03-12T15:51:44.459980,0.6099206519126893,0.5998413038253785,0.010079348087310813,0.5300000000000001,0.8426092948868236,22.549538283074504,0.07992065191268916,True,flow,1.0,True,True,False,False,α=0.5
27,2026-03-12T15:51:44.459984,0.6199603259563446,0.6099206519126893,0.010039674043655356,0.5400000000000001,0.8170778782985466,17.50324116065422,0.0799603259563445,True,flow,1.0,True,True,False,False,α=0.5
28,2026-03-12T15:51:44.459987,0.6299801629781724,0.6199603259563446,0.010019837021827738,0.5500000000000002,0.8061041006406353,33.02114525026667,0.07998016297817223,True,flow,1.0,True,True,False,False,α=0.5
29,2026-03-12T15:51:44.459990,0.6399900814890862,0.6299801629781724,0.010009918510913818,0.5600000000000002,0.8264469056391668,30.457580172114405,0.07999008148908604,True,flow,1.0,True,True,False,False,α=0.5
30,2026-03-12T15:51:44.459993,0.6499950407445432,0.6399900814890862,0.010004959255456969,0.5700000000000002,0.9052369748277994,48.61051228075594,0.079995040744543,True,flow,1.0,True,True,False,False,α=0.5
